State, rank39, STATE, 0.002141, 0.081557, 0.079415, 0.000000, MPI_Scatter
State, rank39, STATE, 0.081557, 0.309895, 0.228338, 0.000000, MPI_Bcast
State, rank39, STATE, 1.118423, 1.119212, 0.000790, 0.000000, MPI_Gather
State, rank39, STATE, 1.119528, 2.816063, 1.696535, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00830293, 2.81636, 2.80805, rank38
State, rank38, STATE, 0.008304, 0.008304, 0.000000, 0.000000, MPI_Comm_rank
State, rank38, STATE, 0.008305, 0.008305, 0.000001, 0.000000, MPI_Comm_size
State, rank38, STATE, 0.008355, 0.076953, 0.068598, 0.000000, MPI_Scatter
State, rank38, STATE, 0.076954, 0.301121, 0.224168, 0.000000, MPI_Bcast
State, rank38, STATE, 1.096506, 1.120398, 0.023892, 0.000000, MPI_Gather
State, rank38, STATE, 1.120611, 2.816356, 1.695745, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00499225, 2.81739, 2.8124, rank37
State, rank37, STATE, 0.004993, 0.004993, 0.000000, 0.000000, MPI_Comm_rank
State, rank37, STATE, 0.004994, 0.004995, 0.000001, 0.000000, MPI_Comm_size
State, rank37, STATE, 0.005050, 0.072790, 0.067740, 0.000000, MPI_Scatter
State, rank37, STATE, 0.072791, 0.300452, 0.227661, 0.000000, MPI_Bcast
State, rank37, STATE, 1.099287, 1.099754, 0.000467, 0.000000, MPI_Gather
State, rank37, STATE, 1.099969, 2.817393, 1.717424, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00662303, 2.81493, 2.80831, rank36
State, rank36, STATE, 0.006624, 0.006624, 0.000000, 0.000000, MPI_Comm_rank
State, rank36, STATE, 0.006624, 0.006625, 0.000000, 0.000000, MPI_Comm_size
State, rank36, STATE, 0.006670, 0.069620, 0.062950, 0.000000, MPI_Scatter
State, rank36, STATE, 0.069620, 0.308894, 0.239274, 0.000000, MPI_Bcast
State, rank36, STATE, 1.108699, 1.121092, 0.012393, 0.000000, MPI_Gather
State, rank36, STATE, 1.121240, 2.814935, 1.693694, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00261021, 2.81797, 2.81536, rank35
State, rank35, STATE, 0.002611, 0.002612, 0.000000, 0.000000, MPI_Comm_rank
State, rank35, STATE, 0.002612, 0.002613, 0.000001, 0.000000, MPI_Comm_size
State, rank35, STATE, 0.002679, 0.065869, 0.063190, 0.000000, MPI_Scatter
State, rank35, STATE, 0.065870, 0.316159, 0.250289, 0.000000, MPI_Bcast
State, rank35, STATE, 1.176856, 1.177572, 0.000716, 0.000000, MPI_Gather
State, rank35, STATE, 1.177785, 2.817969, 1.640184, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00318909, 2.81721, 2.81402, rank34
State, rank34, STATE, 0.003190, 0.003190, 0.000000, 0.000000, MPI_Comm_rank
State, rank34, STATE, 0.003191, 0.003191, 0.000000, 0.000000, MPI_Comm_size
State, rank34, STATE, 0.003235, 0.062857, 0.059622, 0.000000, MPI_Scatter
State, rank34, STATE, 0.062859, 0.306715, 0.243857, 0.000000, MPI_Bcast
State, rank34, STATE, 1.101916, 1.178176, 0.076261, 0.000000, MPI_Gather
State, rank34, STATE, 1.178344, 2.817207, 1.638863, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00550437, 2.81746, 2.81196, rank33
State, rank33, STATE, 0.005505, 0.005506, 0.000000, 0.000000, MPI_Comm_rank
State, rank33, STATE, 0.005506, 0.005507, 0.000001, 0.000000, MPI_Comm_size
State, rank33, STATE, 0.005577, 0.058866, 0.053289, 0.000000, MPI_Scatter
State, rank33, STATE, 0.058867, 0.305738, 0.246871, 0.000000, MPI_Bcast
State, rank33, STATE, 1.097459, 1.097996, 0.000537, 0.000000, MPI_Gather
State, rank33, STATE, 1.098217, 2.817463, 1.719246, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00780416, 2.81602, 2.80822, rank32
State, rank32, STATE, 0.007806, 0.007806, 0.000001, 0.000000, MPI_Comm_rank
State, rank32, STATE, 0.007807, 0.007808, 0.000001, 0.000000, MPI_Comm_size
State, rank32, STATE, 0.007883, 0.057733, 0.049850, 0.000000, MPI_Scatter
State, rank32, STATE, 0.057735, 0.315254, 0.257519, 0.000000, MPI_Bcast
State, rank32, STATE, 1.121846, 1.790562, 0.668716, 0.000000, MPI_Gather
State, rank32, STATE, 1.790851, 2.816020, 1.025169, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000561953, 2.81814, 2.81758, rank31
State, rank31, STATE, 0.000563, 0.000563, 0.000000, 0.000000, MPI_Comm_rank
State, rank31, STATE, 0.000563, 0.000564, 0.000001, 0.000000, MPI_Comm_size
State, rank31, STATE, 0.000609, 0.051283, 0.050674, 0.000000, MPI_Scatter
State, rank31, STATE, 0.051285, 0.215731, 0.164446, 0.000000, MPI_Bcast
State, rank31, STATE, 1.431082, 1.454336, 0.023254, 0.000000, MPI_Gather
State, rank31, STATE, 1.454515, 2.818145, 1.363630, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.014534, 2.81797, 2.80344, rank30
State, rank30, STATE, 0.014536, 0.014536, 0.000001, 0.000000, MPI_Comm_rank
